State,Income
Alabama,29426
Alaska,60279
Arizona,50398
Arkansas,40558
California,49532
Colorado,48585
Connecticut,45347
Delaware,41216
Florida,42617
Georgia,41018
Hawaii,55320
Idaho,44999
Illinois,39545
Indiana,37133
Iowa,42262
Kansas,36935
Kentucky,37769
Louisiana,34407
Maine,49037
Maryland,48457
Massachusetts,53615
Michigan,40683
Minnesota,48813
Mississippi,36457
Missouri,38273
Montana,41174
Nebraska,37867
Nevada,51199
New Hampshire,58255
New Jersey,52624
New Mexico,30195
New York,43121
North Carolina,43453
North Dakota,40508
Ohio,38314
Oklahoma,35945
Oregon,45239
Pennsylvania,40784
Rhode Island,53236
South Carolina,40620
South Dakota,44195
Tennessee,42104
Texas,38563
Utah,54506
Vermont,41265
Virginia,44335
Washington,54660
West Virginia,27380
Wisconsin,42103
Wyoming,39353
