State,Income
Alabama,47114
Alaska,66292
Arizona,57507
Arkansas,42943
California,65628
Colorado,63445
Connecticut,65053
Delaware,62733
Florida,52625
Georgia,51664
Hawaii,77957
Idaho,52132
Illinois,55071
Indiana,48309
Iowa,52006
Kansas,52203
Kentucky,43927
Louisiana,42215
Maine,51870
Maryland,69070
Massachusetts,60810
Michigan,51010
Minnesota,56839
Mississippi,41013
Missouri,48298
Montana,48165
Nebraska,51974
Nevada,54959
New Hampshire,59946
New Jersey,65988
New Mexico,50240
New York,55878
North Carolina,49781
North Dakota,56319
Ohio,49081
Oklahoma,47259
Oregon,55973
Pennsylvania,50330
Rhode Island,55691
South Carolina,50287
South Dakota,50665
Tennessee,48478
Texas,52331
Utah,63225
Vermont,53245
Virginia,61447
Washington,62597
West Virginia,41438
Wisconsin,50167
Wyoming,53229
