Income (Median family income) by State
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Value

State, FIPS,Value (Dollars),Rank within US (of 52 states)
"United States",00000,92,646,"N/A"
"Puerto Rico",72001,29,240,"52"
"Mississippi",28000,67,731,"51"
"Arkansas",05000,71,437,"50"
"West Virginia",54000,71,678,"49"
"New Mexico",35000,72,422,"48"
"Louisiana",22000,74,911,"47"
"Kentucky",21000,76,273,"46"
"Oklahoma",40000,77,160,"45"
"Alabama",01000,77,363,"44"
"South Carolina",45000,79,830,"43"
"Tennessee",47000,80,258,"42"
"Florida",12000,81,514,"41"
"North Carolina",37000,82,890,"40"
"Idaho",16000,83,640,"39"
"Montana",30000,84,027,"38"
"Indiana",18000,84,657,"37"
"Missouri",29000,84,745,"36"
"Nevada",32000,85,584,"35"
"Georgia",13000,86,169,"34"
"Ohio",39000,86,508,"33"
"Arizona",04000,86,737,"32"
"Michigan",26000,87,221,"31"
"Texas",48000,87,594,"30"
"South Dakota",46000,88,996,"29"
"Maine",23000,89,012,"28"
"Kansas",20000,89,535,"27"
"Iowa",19000,90,921,"26"
"Wyoming",56000,92,028,"25"
"Nebraska",31000,92,614,"24"
"Wisconsin",55000,92,974,"23"
"Pennsylvania",42000,93,685,"22"
"Oregon",41000,94,277,"21"
"Vermont",50000,97,153,"20"
"Delaware",10000,97,743,"19"
"Illinois",17000,99,215,"18"
"Utah",49000,100,001,"17"
"North Dakota",38000,100,188,"16"
"New York",36000,100,846,"15"
"Rhode Island",44000,104,033,"14"
"Alaska",02900,104,081,"13"
"California",06000,105,010,"12"
"Minnesota",27000,107,072,"11"
"Virginia",51000,107,504,"10"
"Washington",53000,108,285,"9"
"Colorado",08000,108,664,"8"
"Hawaii",15000,111,678,"7"
"New Hampshire",33000,113,605,"6"
"Connecticut",09000,115,539,"5"
"New Jersey",34000,119,240,"4"
"Maryland",24000,120,081,"3"
"Massachusetts",25000,122,530,"2"
"District of Columbia",11001,142,328,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/28/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
