State,Income
Alabama,44833.80
Alaska,43424.32
Arizona,33639.32
Arkansas,33406.81
California,42354.11
Colorado,36388.78
Connecticut,46318.72
Delaware,27783.77
Florida,35159.07
Georgia,55429.19
Hawaii,39696.61
Idaho,36956.32
Illinois,38982.63
Indiana,30612.26
Iowa,55579.60
Kansas,45396.47
Kentucky,30917.52
Louisiana,46935.65
Maine,42339.87
Maryland,68633.94
Massachusetts,25854.61
Michigan,35023.89
Minnesota,34552.41
Mississippi,40756.19
Missouri,33960.45
Montana,34865.80
Nebraska,34465.84
Nevada,34881.64
New Hampshire,26340.29
New Jersey,37585.68
New Mexico,55543.33
New York,33751.81
North Carolina,35061.45
North Dakota,38740.72
Ohio,38437.65
Oklahoma,39939.10
Oregon,32587.17
Pennsylvania,53785.03
Rhode Island,22611.39
South Carolina,48365.02
South Dakota,34926.83
Tennessee,42662.31
Texas,45901.93
Utah,42023.58
Vermont,34944.82
Virginia,35414.54
Washington,40721.75
West Virginia,25403.00
Wisconsin,18035.34
Wyoming,32116.54
Alabama,53888.81
Alaska,45926.40
Arizona,42480.06
Arkansas,50612.91
California,60530.94
Colorado,55041.83
Connecticut,55289.13
Delaware,48046.69
Florida,48129.27
Georgia,49807.93
Hawaii,54003.08
Idaho,43371.94
Illinois,42697.80
Indiana,52637.65
Iowa,44151.21
Kansas,46007.50
Kentucky,42223.75
Louisiana,47766.91
Maine,56947.75
Maryland,60688.02
Massachusetts,43002.78
Michigan,46324.70
Minnesota,50930.42
Mississippi,44800.22
Missouri,43775.91
Montana,41466.79
Nebraska,48941.17
Nevada,45621.63
New Hampshire,44034.61
New Jersey,49427.75
New Mexico,57863.53
New York,48527.24
North Carolina,48169.65
North Dakota,54696.12
Ohio,44771.82
Oklahoma,45789.46
Oregon,48398.12
Pennsylvania,47559.44
Rhode Island,50806.66
South Carolina,46993.17
South Dakota,42379.85
Tennessee,44423.35
Texas,53473.90
Utah,44506.40
Vermont,55912.58
Virginia,44983.77
Washington,54762.86
West Virginia,44861.24
Wisconsin,40876.44
Wyoming,44377.34
