State,Income
Alabama,36407
Alaska,55249.03
Arizona,43870.06
Arkansas,52495.35
California,61347.23
Colorado,53945.77
Connecticut,65229.56
Delaware,56722.11
Florida,49390.92
Georgia,50164.78
Hawaii,44047.85
Idaho,46469.14
Illinois,38746.82
Indiana,56143.34
Iowa,48152.95
Kansas,50162.52
Kentucky,53003.42
Louisiana,44158.59
Maine,61798.66
Maryland,56348.08
Massachusetts,53518.92
Michigan,55731.08
Minnesota,47737.76
Mississippi,47136.82
Missouri,35053.02
Montana,37775.86
Nebraska,54795.19
Nevada,35810.13
New Hampshire,43931.01
New Jersey,57975.89
New Mexico,67887.07
New York,44977.32
North Carolina,42533.79
North Dakota,53340.39
Ohio,52081.3
Oklahoma,38052.16
Oregon,53009.84
Pennsylvania,53275.36
Rhode Island,51844.54
South Carolina,52792.35
South Dakota,34839.12
Tennessee,46797.44
Texas,54054.01
Utah,43475.78
Vermont,60988.11
Virginia,51927.37
Washington,59269.81
West Virginia,44897.2
Wisconsin,42102.38
Wyoming,39712.57
