Income (Median family income) by State
"Asian/Pacific Islander (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Value

State, FIPS,Value (Dollars)
"United States",00000,data not available
"Alabama",01000,data not available
"Alaska",02900,data not available
"Arizona",04000,data not available
"Arkansas",05000,data not available
"California",06000,data not available
"Colorado",08000,data not available
"Connecticut",09000,data not available
"Delaware",10000,data not available
"District of Columbia",11001,data not available
"Florida",12000,data not available
"Georgia",13000,data not available
"Hawaii",15000,data not available
"Idaho",16000,data not available
"Illinois",17000,data not available
"Indiana",18000,data not available
"Iowa",19000,data not available
"Kansas",20000,data not available
"Kentucky",21000,data not available
"Louisiana",22000,data not available
"Maine",23000,data not available
"Maryland",24000,data not available
"Massachusetts",25000,data not available
"Michigan",26000,data not available
"Minnesota",27000,data not available
"Mississippi",28000,data not available
"Missouri",29000,data not available
"Montana",30000,data not available
"Nebraska",31000,data not available
"Nevada",32000,data not available
"New Hampshire",33000,data not available
"New Jersey",34000,data not available
"New Mexico",35000,data not available
"New York",36000,data not available
"North Carolina",37000,data not available
"North Dakota",38000,data not available
"Ohio",39000,data not available
"Oklahoma",40000,data not available
"Oregon",41000,data not available
"Pennsylvania",42000,data not available
"Puerto Rico",72001,data not available
"Rhode Island",44000,data not available
"South Carolina",45000,data not available
"South Dakota",46000,data not available
"Tennessee",47000,data not available
"Texas",48000,data not available
"Utah",49000,data not available
"Vermont",50000,data not available
"Virginia",51000,data not available
"Washington",53000,data not available
"West Virginia",54000,data not available
"Wisconsin",55000,data not available
"Wyoming",56000,data not available

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/28/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Data for Asian/Pacific Islanders combined are not available due to the lack of data availability from the American Community Survey (http://www.census.gov/acs/www/) for the individual racial ethnic groups.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
