State,Income
Alabama,42223.82
Alaska,33875.82
Arizona,33153.17
Arkansas,36567.73
California,43703.31
Colorado,38995.38
Connecticut,38534.35
Delaware,36708.21
Florida,34712.19
Georgia,37734.54
Hawaii,51970.1
Idaho,32288.41
Illinois,45403.28
Indiana,39272.32
Iowa,35076.01
Kansas,33497.15
Kentucky,33613.32
Louisiana,32868.08
Maine,40795.25
Maryland,47438.19
Massachusetts,27023.45
Michigan,36454.36
Minnesota,36285.36
Mississippi,36350.68
Missouri,32833.58
Montana,39527.64
Nebraska,35444.24
Nevada,32749.73
New Hampshire,37152.01
New Jersey,40390.65
New Mexico,42767.21
New York,40146.69
North Carolina,35156.07
North Dakota,40277.02
Ohio,34423.58
Oklahoma,35913.97
Oregon,44465.16
Pennsylvania,35131.69
Rhode Island,36972.46
South Carolina,34534.92
South Dakota,25233.34
Tennessee,36110.31
Texas,39670.24
Utah,33331.37
Vermont,40472.57
Virginia,30089.62
Washington,43971.29
West Virginia,33412.58
Wisconsin,34655.42
Wyoming,42365.99
