Income (Median family income) by State
"Black (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Value

State, FIPS,Value (Dollars),Rank within US (of 52 states)
"United States",00000,63,338,"N/A"
"Puerto Rico",72001,28,090,"52"
"Mississippi",28000,45,557,"51"
"Iowa",19000,45,723,"50"
"Wisconsin",55000,45,775,"49"
"Arkansas",05000,46,243,"48"
"Louisiana",22000,47,406,"47"
"Ohio",39000,51,056,"46"
"Alabama",01000,52,042,"45"
"Oklahoma",40000,52,744,"44"
"Indiana",18000,52,821,"43"
"West Virginia",54000,53,166,"42"
"South Carolina",45000,53,755,"41"
"Michigan",26000,54,087,"40"
"Kentucky",21000,55,398,"39"
"South Dakota",46000,56,244,"38"
"Nebraska",31000,56,532,"37"
"Pennsylvania",42000,56,995,"36"
"Tennessee",47000,57,536,"35"
"Missouri",29000,57,785,"34"
"Minnesota",27000,57,890,"33"
"North Carolina",37000,58,462,"32"
"North Dakota",38000,58,750,"31"
"Illinois",17000,60,033,"30"
"Nevada",32000,60,468,"29"
"Florida",12000,60,668,"28"
"Maine",23000,60,779,"27"
"Vermont",50000,61,000,"26"
"Kansas",20000,61,055,"25"
"New Mexico",35000,62,031,"24"
"Utah",49000,62,580,"23"
"Idaho",16000,64,583,"22"
"Georgia",13000,66,386,"21"
"Montana",30000,68,722,"20"
"Texas",48000,68,802,"19"
"District of Columbia",11001,69,340,"18"
"Oregon",41000,70,314,"17"
"Arizona",04000,71,429,"16"
"New Hampshire",33000,73,366,"15"
"Virginia",51000,74,055,"14"
"New York",36000,74,508,"13"
"Delaware",10000,75,061,"12"
"Colorado",08000,76,846,"11"
"Connecticut",09000,77,083,"10"
"Alaska",02900,78,362,"9"
"Washington",53000,79,750,"8"
"California",06000,80,195,"7"
"New Jersey",34000,81,147,"6"
"Massachusetts",25000,81,155,"5"
"Rhode Island",44000,82,694,"4"
"Maryland",24000,97,778,"3"
"Hawaii",15000,98,220,"2"
"Wyoming",56000,103,094,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/28/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
