State,White,Black,Hispanic,Asian,American Indian,Native Haiwaiian,Multiple,Income,Minority,Location,Wealth
Alabama,65.40%,26.50%,4.40%,1.40%,0.40%,N/A,1.90%,56200,Black,South,Low
Arkansas,72.10%,15.20%,7.80%,1.60%,0.60%,0.40%,2.40%,54539,Black,South,Low
Delaware,61.40%,21.80%,9.70%,3.90%,0.30%,N/A,2.80%,74194,Black,North,High
District of Columbia,36.70%,45.00%,11.20%,3.70%,0.30%,N/A,3.10%,93111,Black,North,High
Georgia,52.00%,31.30%,9.80%,4.10%,0.20%,0.10%,2.50%,56628,Black,South,Low
Indiana,78.60%,9.20%,7.20%,2.40%,0.20%,N/A,2.30%,66693,Black,Midwest,Mid
Kentucky,84.50%,8.00%,3.70%,1.60%,0.10%,N/A,2.00%,55662,Black,South,Low
Louisiana,58.80%,31.90%,5.20%,1.70%,0.50%,N/A,1.90%,51707,Black,South,Low
Maryland,49.90%,29.60%,10.60%,6.40%,0.20%,N/A,3.20%,95572,Black,North,High
Michigan,74.90%,13.40%,5.30%,3.20%,0.50%,N/A,2.70%,64119,Black,Midwest,Mid
Minnesota,79.10%,6.40%,5.60%,4.90%,0.90%,N/A,3.00%,81426,Black,Midwest,High
Mississippi,56.60%,37.60%,3.00%,1.00%,0.40%,N/A,1.40%,44787,Black,South,Low
Missouri,79.40%,11.20%,4.30%,2.10%,0.40%,0.10%,2.60%,60597,Black,South,Mid
North Carolina,62.70%,20.90%,9.70%,2.90%,1.10%,<.01,2.60%,61159,Black,South,Mid
Ohio,78.60%,12.20%,4.00%,2.30%,0.10%,N/A,2.80%,64663,Black,Midwest,Mid
Pennsylvania,76.00%,10.40%,7.80%,3.50%,0.10%,<.01,2.30%,70582,Black,North,High
South Carolina,63.70%,26.20%,5.70%,1.70%,0.30%,N/A,2.20%,62028,Black,South,Mid
Tennessee,73.60%,16.40%,5.70%,1.80%,0.30%,N/A,2.20%,56627,Black,South,Low
Virginia,61.30%,18.90%,9.60%,6.70%,0.20%,<.01,3.30%,81313,Black,South,High
West Virginia,92.50%,3.20%,1.40%,0.80%,0.20%,N/A,1.80%,53706,Black,South,Low
