State,Income
Alabama,43220.89
Alaska,35448.51
Arizona,34939.33
Arkansas,37554.41
California,44504.67
Colorado,43120.23
Connecticut,43907.47
Delaware,39108.17
Florida,38078.19
Georgia,38254.21
Hawaii,40070.7
Idaho,36152.64
Illinois,33118.23
Indiana,41011.3
Iowa,35877.65
Kansas,37022.63
Kentucky,35266.58
Louisiana,34866.3
Maine,47185.42
Maryland,48498.73
Massachusetts,37223.98
Michigan,37994.97
Minnesota,42724.23
Mississippi,37607.07
Missouri,33438.5
Montana,33897.43
Nebraska,38263.5
Nevada,36526.16
New Hampshire,36494.09
New Jersey,41497.11
New Mexico,46650.88
New York,35433.89
North Carolina,36446.84
North Dakota,44389.05
Ohio,37038.39
Oklahoma,35390.63
Oregon,39270.54
Pennsylvania,38840.2
Rhode Island,40835.01
South Carolina,36648.59
South Dakota,34808.78
Tennessee,36465.78
Texas,38046.59
Utah,32646.65
Vermont,43486.53
Virginia,39268.07
Washington,43911.03
West Virginia,36960.41
Wisconsin,33974.52
Wyoming,33906.15
