State,Income
Alabama,"$40,589.70 "
Alaska,"$32,931.37 "
Arizona,"$32,561.02 "
Arkansas,"$34,504.52 "
California,"$37,523.40 "
Colorado,"$37,548.10 "
Connecticut,"$34,781.41 "
Delaware,"$34,185.66 "
Florida,"$38,197.54 "
Georgia,"$34,709.93 "
Hawaii,"$40,420.28 "
Idaho,"$35,509.97 "
Illinois,"$31,955.03 "
Indiana,"$36,051.08 "
Iowa,"$35,825.26 "
Kansas,"$31,874.22 "
Kentucky,"$30,661.17 "
Louisiana,"$40,309.68 "
Maine,"$37,597.56 "
Maryland,"$38,724.87 "
Massachusetts,"$35,950.06 "
Michigan,"$35,749.50 "
Minnesota,"$35,557.34 "
Mississippi,"$37,343.06 "
Missouri,"$31,264.86 "
Montana,"$31,892.15 "
Nebraska,"$32,490.85 "
Nevada,"$38,702.73 "
New Hampshire,"$31,279.80 "
New Jersey,"$38,257.75 "
New Mexico,"$40,006.63 "
New York,"$35,031.87 "
North Carolina,"$34,428.01 "
North Dakota,"$38,908.67 "
Ohio,"$33,106.00 "
Oklahoma,"$35,112.08 "
Oregon,"$32,453.09 "
Pennsylvania,"$36,165.64 "
Rhode Island,"$32,310.72 "
South Carolina,"$33,491.49 "
South Dakota,"$33,271.76 "
Tennessee,"$37,004.73 "
Texas,"$35,616.45 "
Utah,"$33,865.41 "
Vermont,"$40,268.02 "
Virginia,"$39,591.44 "
Washington,"$36,322.83 "
West Virginia,"$30,943.57 "
Wisconsin,"$35,646.82 "
Wyoming,"$37,497.71 "
