Income (Median family income) by State
"Hispanic/Latino (any race), Both Sexes, All Ages, 2018-2022"
Sorted by Value

State, FIPS,Value (Dollars),Rank within US (of 52 states)
"United States",00000,69,470,"N/A"
"Puerto Rico",72001,29,125,"52"
"Mississippi",28000,53,648,"51"
"Alabama",01000,54,224,"50"
"Arkansas",05000,56,386,"49"
"Kentucky",21000,56,407,"48"
"Oklahoma",40000,56,549,"47"
"North Carolina",37000,56,618,"46"
"Rhode Island",44000,56,952,"45"
"Pennsylvania",42000,58,449,"44"
"Tennessee",47000,58,480,"43"
"South Carolina",45000,59,585,"42"
"New Mexico",35000,60,112,"41"
"Connecticut",09000,62,761,"40"
"Kansas",20000,62,914,"39"
"Iowa",19000,63,186,"38"
"North Dakota",38000,63,657,"37"
"South Dakota",46000,63,780,"36"
"Wisconsin",55000,64,156,"35"
"Massachusetts",25000,64,279,"34"
"Ohio",39000,64,299,"33"
"Indiana",18000,64,770,"32"
"Texas",48000,64,903,"31"
"Georgia",13000,65,421,"30"
"Missouri",29000,65,473,"29"
"Idaho",16000,65,815,"28"
"Montana",30000,65,860,"27"
"Arizona",04000,66,357,"26"
"Nebraska",31000,66,955,"25"
"Louisiana",22000,67,616,"24"
"Florida",12000,67,973,"23"
"New York",36000,68,734,"22"
"Michigan",26000,68,893,"21"
"Nevada",32000,68,934,"20"
"Delaware",10000,69,143,"19"
"Wyoming",56000,70,232,"18"
"Oregon",41000,71,417,"17"
"Washington",53000,71,704,"16"
"Minnesota",27000,72,492,"15"
"West Virginia",54000,73,488,"14"
"Utah",49000,74,976,"13"
"New Jersey",34000,75,040,"12"
"Illinois",17000,75,482,"11"
"Colorado",08000,76,259,"10"
"California",06000,76,508,"9"
"New Hampshire",33000,80,376,"8"
"Maine",23000,80,647,"7"
"Alaska",02900,83,933,"6"
"Virginia",51000,85,310,"5"
"Maryland",24000,87,826,"4"
"Hawaii",15000,90,209,"3"
"Vermont",50000,96,375,"2"
"District of Columbia",11001,114,154,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/28/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
