State,Income
Alabama,54257.39
Alaska,48511.18
Arizona,45148.14
Arkansas,49887.23
California,56078.31
Colorado,56613.14
Connecticut,57972.41
Delaware,49626.94
Florida,48408.3
Georgia,50626.76
Hawaii,50033.1
Idaho,48566.18
Illinois,47541.27
Indiana,54919.65
Iowa,48893.53
Kansas,49132.02
Kentucky,46669.01
Louisiana,50266.75
Maine,60590.63
Maryland,59583.4
Massachusetts,48160.28
Michigan,51137.42
Minnesota,54767.21
Mississippi,49117.79
Missouri,45001.63
Montana,47066.24
Nebraska,49803.54
Nevada,51158.9
New Hampshire,47394.29
New Jersey,55787.69
New Mexico,60024.03
New York,45141.87
North Carolina,47119.83
North Dakota,54839.6
Ohio,48999.87
Oklahoma,49449.85
Oregon,51670.57
Pennsylvania,52407.15
Rhode Island,53288.24
South Carolina,49287.44
South Dakota,46865.36
Tennessee,48393.68
Texas,51034.68
Utah,50794.45
Vermont,58524.67
Virginia,49928.71
Washington,58854.67
West Virginia,49203.67
Wisconsin,46360.04
Wyoming,51334.39
