State,Income
Alabama,"$39,157.21 "
Alaska,"$33,577.06 "
Arizona,"$35,026.52 "
Arkansas,"$37,008.38 "
California,"$51,162.41 "
Colorado,"$42,951.26 "
Connecticut,"$40,514.57 "
Delaware,"$32,051.92 "
Florida,"$46,221.34 "
Georgia,"$43,713.59 "
Hawaii,"$40,989.01 "
Idaho,"$38,025.62 "
Illinois,"$35,491.47 "
Indiana,"$37,301.65 "
Iowa,"$34,724.78 "
Kansas,"$32,806.91 "
Kentucky,"$35,503.65 "
Louisiana,"$43,387.57 "
Maine,"$47,077.92 "
Maryland,"$46,485.81 "
Massachusetts,"$33,683.61 "
Michigan,"$31,851.02 "
Minnesota,"$39,903.82 "
Mississippi,"$34,831.59 "
Missouri,"$25,715.50 "
Montana,"$33,685.46 "
Nebraska,"$39,951.97 "
Nevada,"$31,256.53 "
New Hampshire,"$32,696.83 "
New Jersey,"$34,890.00 "
New Mexico,"$36,055.84 "
New York,"$45,069.22 "
North Carolina,"$42,116.45 "
North Dakota,"$44,902.49 "
Ohio,"$32,359.41 "
Oklahoma,"$41,083.45 "
Oregon,"$36,812.66 "
Pennsylvania,"$33,619.60 "
Rhode Island,"$46,650.92 "
South Carolina,"$37,274.46 "
South Dakota,"$31,000.58 "
Tennessee,"$39,608.59 "
Texas,"$38,420.30 "
Utah,"$38,964.21 "
Vermont,"$42,268.87 "
Virginia,"$30,917.62 "
Washington,"$46,354.17 "
West Virginia,"$33,349.40 "
Wisconsin,"$31,225.83 "
Wyoming,"$32,238.16 "
