State,Income
Alabama,"$44,833.80 "
Alaska,"$43,424.32 "
Arizona,"$33,639.32 "
Arkansas,"$33,406.81 "
California,"$42,354.11 "
Colorado,"$36,388.78 "
Connecticut,"$46,318.72 "
Delaware,"$27,783.77 "
Florida,"$35,159.07 "
Georgia,"$55,429.19 "
Hawaii,"$39,696.61 "
Idaho,"$36,956.32 "
Illinois,"$38,982.63 "
Indiana,"$30,612.26 "
Iowa,"$55,579.60 "
Kansas,"$45,396.47 "
Kentucky,"$30,917.52 "
Louisiana,"$46,935.65 "
Maine,"$42,339.87 "
Maryland,"$68,633.94 "
Massachusetts,"$25,854.61 "
Michigan,"$35,023.89 "
Minnesota,"$34,552.41 "
Mississippi,"$40,756.19 "
Missouri,"$33,960.45 "
Montana,"$34,865.80 "
Nebraska,"$34,465.84 "
Nevada,"$34,881.64 "
New Hampshire,"$26,340.29 "
New Jersey,"$37,585.68 "
New Mexico,"$55,543.33 "
New York,"$33,751.81 "
North Carolina,"$35,061.45 "
North Dakota,"$38,740.72 "
Ohio,"$38,437.65 "
Oklahoma,"$39,939.10 "
Oregon,"$32,587.17 "
Pennsylvania,"$53,785.03 "
Rhode Island,"$22,611.39 "
South Carolina,"$48,365.02 "
South Dakota,"$34,926.83 "
Tennessee,"$42,662.31 "
Texas,"$45,901.93 "
Utah,"$42,023.58 "
Vermont,"$34,944.82 "
Virginia,"$35,414.54 "
Washington,"$40,721.75 "
West Virginia,"$25,403.00 "
Wisconsin,"$18,035.34 "
Wyoming,"$32,116.54 "
Alabama,"$53,888.81 "
Alaska,"$45,926.40 "
Arizona,"$42,480.06 "
Arkansas,"$50,612.91 "
California,"$60,530.94 "
Colorado,"$55,041.83 "
Connecticut,"$55,289.13 "
Delaware,"$48,046.69 "
Florida,"$48,129.27 "
Georgia,"$49,807.93 "
Hawaii,"$54,003.08 "
Idaho,"$43,371.94 "
Illinois,"$42,697.80 "
Indiana,"$52,637.65 "
Iowa,"$44,151.21 "
Kansas,"$46,007.50 "
Kentucky,"$42,223.75 "
Louisiana,"$47,766.91 "
Maine,"$56,947.75 "
Maryland,"$60,688.02 "
Massachusetts,"$43,002.78 "
Michigan,"$46,324.70 "
Minnesota,"$50,930.42 "
Mississippi,"$44,800.22 "
Missouri,"$43,775.91 "
Montana,"$41,466.79 "
Nebraska,"$48,941.17 "
Nevada,"$45,621.63 "
New Hampshire,"$44,034.61 "
New Jersey,"$49,427.75 "
New Mexico,"$57,863.53 "
New York,"$48,527.24 "
North Carolina,"$48,169.65 "
North Dakota,"$54,696.12 "
Ohio,"$44,771.82 "
Oklahoma,"$45,789.46 "
Oregon,"$48,398.12 "
Pennsylvania,"$47,559.44 "
Rhode Island,"$50,806.66 "
South Carolina,"$46,993.17 "
South Dakota,"$42,379.85 "
Tennessee,"$44,423.35 "
Texas,"$53,473.90 "
Utah,"$44,506.40 "
Vermont,"$55,912.58 "
Virginia,"$44,983.77 "
Washington,"$54,762.86 "
West Virginia,"$44,861.24 "
Wisconsin,"$40,876.44 "
Wyoming,"$44,377.34 "
