Income (Median family income) by State
"American Indian/Alaskan Native (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Value

State, FIPS,Value (Dollars),Rank within US (of 51 states)
"United States",00000,64,062,"N/A"
"Puerto Rico",72001,26,406,"51"
"South Dakota",46000,34,375,"50"
"Rhode Island",44000,44,917,"49"
"Mississippi",28000,45,335,"48"
"Montana",30000,45,492,"47"
"New Mexico",35000,46,560,"46"
"Kentucky",21000,47,179,"45"
"Minnesota",27000,49,246,"44"
"Iowa",19000,49,364,"43"
"Ohio",39000,49,836,"42"
"North Dakota",38000,51,058,"41"
"North Carolina",37000,52,061,"40"
"Georgia",13000,52,119,"39"
"Arizona",04000,53,673,"38"
"Delaware",10000,55,335,"37"
"Arkansas",05000,57,883,"36"
"South Carolina",45000,58,656,"35"
"Idaho",16000,59,216,"34"
"Hawaii",15000,60,857,"33"
"Pennsylvania",42000,60,907,"32"
"Michigan",26000,61,032,"31"
"Wisconsin",55000,61,442,"30"
"Nebraska",31000,61,951,"29"
"Maine",23000,62,083,"28"
"Alaska",02900,62,829,"27"
"Louisiana",22000,64,157,"26"
"Indiana",18000,64,193,"25"
"Oklahoma",40000,64,589,"24"
"Massachusetts",25000,64,850,"23"
"New York",36000,65,003,"22"
"West Virginia",54000,65,213,"21"
"Nevada",32000,66,618,"20"
"Missouri",29000,67,083,"19"
"Utah",49000,67,911,"18"
"Colorado",08000,68,707,"17"
"Oregon",41000,68,846,"16"
"Kansas",20000,69,645,"15"
"Florida",12000,69,672,"14"
"Washington",53000,69,739,"13"
"Tennessee",47000,70,221,"12"
"Wyoming",56000,71,250,"11"
"Vermont",50000,71,875,"10"
"Alabama",01000,73,146,"9"
"Connecticut",09000,73,472,"8"
"Illinois",17000,74,393,"7"
"Texas",48000,75,137,"6"
"California",06000,81,118,"5"
"New Jersey",34000,81,996,"4"
"Maryland",24000,84,647,"3"
"Virginia",51000,93,619,"2"
"New Hampshire",33000,106,813,"1"
"District of Columbia",11001,data not available,"N/A"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/28/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
"Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
