State,Data Type,Average Weekly Earnings,Average Yearly Earnings  (x48)
AK,White,"$1,122.68 ","$53,888.81 "
AK,Black,$879.66 ,"$42,223.82 "
AK,Native American/American Indian,$934.04 ,"$44,833.80 "
AK,Asian-Pacific Islander,$758.48 ,"$36,407.00 "
AK,Hispanic/Latino,$845.62 ,"$40,589.70 "
AK,Multiracial,$815.78 ,"$39,157.21 "
AL,White,$956.80 ,"$45,926.40 "
AL,Black,$705.75 ,"$33,875.82 "
AL,Native American/American Indian,$904.67 ,"$43,424.32 "
AL,Asian-Pacific Islander,"$1,151.02 ","$55,249.03 "
AL,Hispanic/Latino,$686.07 ,"$32,931.37 "
AL,Multiracial,$699.52 ,"$33,577.06 "
AR,White,$885.00 ,"$42,480.06 "
AR,Black,$690.69 ,"$33,153.17 "
AR,Native American/American Indian,$700.82 ,"$33,639.32 "
AR,Asian-Pacific Islander,$913.96 ,"$43,870.06 "
AR,Hispanic/Latino,$678.35 ,"$32,561.02 "
AR,Multiracial,$729.72 ,"$35,026.52 "
AZ,White,"$1,054.44 ","$50,612.91 "
AZ,Black,$761.83 ,"$36,567.73 "
AZ,Native American/American Indian,$695.98 ,"$33,406.81 "
AZ,Asian-Pacific Islander,"$1,093.65 ","$52,495.35 "
AZ,Hispanic/Latino,$718.84 ,"$34,504.52 "
AZ,Multiracial,$771.01 ,"$37,008.38 "
CA,White,"$1,261.06 ","$60,530.94 "
CA,Black,$910.49 ,"$43,703.31 "
CA,Native American/American Indian,$882.38 ,"$42,354.11 "
CA,Asian-Pacific Islander,"$1,278.07 ","$61,347.23 "
CA,Hispanic/Latino,$781.74 ,"$37,523.40 "
CA,Multiracial,"$1,065.88 ","$51,162.41 "
CO,White,"$1,146.70 ","$55,041.83 "
CO,Black,$812.40 ,"$38,995.38 "
CO,Native American/American Indian,$758.10 ,"$36,388.78 "
CO,Asian-Pacific Islander,"$1,123.87 ","$53,945.77 "
CO,Hispanic/Latino,$782.25 ,"$37,548.10 "
CO,Multiracial,$894.82 ,"$42,951.26 "
CT,White,"$1,151.86 ","$55,289.13 "
CT,Black,$802.80 ,"$38,534.35 "
CT,Native American/American Indian,$964.97 ,"$46,318.72 "
CT,Asian-Pacific Islander,"$1,358.95 ","$65,229.56 "
CT,Hispanic/Latino,$724.61 ,"$34,781.41 "
CT,Multiracial,$844.05 ,"$40,514.57 "
DE,White,"$1,000.97 ","$48,046.69 "
DE,Black,$764.75 ,"$36,708.21 "
DE,Native American/American Indian,$578.83 ,"$27,783.77 "
DE,Asian-Pacific Islander,"$1,181.71 ","$56,722.11 "
DE,Hispanic/Latino,$712.20 ,"$34,185.66 "
DE,Multiracial,$667.75 ,"$32,051.92 "
FL,White,"$1,002.69 ","$48,129.27 "
FL,Black,$723.17 ,"$34,712.19 "
FL,Native American/American Indian,$732.48 ,"$35,159.07 "
FL,Asian-Pacific Islander,"$1,028.98 ","$49,390.92 "
FL,Hispanic/Latino,$795.78 ,"$38,197.54 "
FL,Multiracial,$962.94 ,"$46,221.34 "
GA,White,"$1,037.67 ","$49,807.93 "
GA,Black,$786.14 ,"$37,734.54 "
GA,Native American/American Indian,"$1,154.77 ","$55,429.19 "
GA,Asian-Pacific Islander,"$1,045.10 ","$50,164.78 "
GA,Hispanic/Latino,$723.12 ,"$34,709.93 "
GA,Multiracial,$910.70 ,"$43,713.59 "
HI,White,"$1,125.06 ","$54,003.08 "
HI,Black,"$1,082.71 ","$51,970.10 "
HI,Native American/American Indian,$827.01 ,"$39,696.61 "
HI,Asian-Pacific Islander,$917.66 ,"$44,047.85 "
HI,Hispanic/Latino,$842.09 ,"$40,420.28 "
HI,Multiracial,$853.94 ,"$40,989.01 "
IA,White,$903.58 ,"$43,371.94 "
IA,Black,$672.68 ,"$32,288.41 "
IA,Native American/American Indian,$769.92 ,"$36,956.32 "
IA,Asian-Pacific Islander,$968.11 ,"$46,469.14 "
IA,Hispanic/Latino,$739.79 ,"$35,509.97 "
IA,Multiracial,$792.20 ,"$38,025.62 "
ID,White,$889.54 ,"$42,697.80 "
ID,Black,$945.90 ,"$45,403.28 "
ID,Native American/American Indian,$812.14 ,"$38,982.63 "
