Income (Median family income) by State
"White (includes Hispanic/Latino), Both Sexes, All Ages, 2018-2022"
Sorted by Value

State, FIPS,Value (Dollars),Rank within US (of 52 states)
"United States",00000,100,013,"N/A"
"Puerto Rico",72001,29,788,"52"
"West Virginia",54000,72,185,"51"
"Arkansas",05000,77,269,"50"
"Kentucky",21000,78,581,"49"
"New Mexico",35000,79,580,"48"
"Oklahoma",40000,83,206,"47"
"Mississippi",28000,83,275,"46"
"Tennessee",47000,85,277,"45"
"Idaho",16000,86,003,"44"
"Montana",30000,86,519,"43"
"Alabama",01000,87,501,"42"
"Missouri",29000,88,461,"41"
"Indiana",18000,88,689,"40"
"Florida",12000,89,075,"39"
"Maine",23000,89,809,"38"
"Louisiana",22000,89,813,"37"
"South Carolina",45000,91,222,"36"
"Ohio",39000,91,886,"35"
"Michigan",26000,91,976,"34"
"North Carolina",37000,92,115,"33"
"Arizona",04000,92,428,"32"
"Kansas",20000,92,962,"31"
"Iowa",19000,93,357,"30"
"South Dakota",46000,93,911,"29"
"Wyoming",56000,94,078,"28"
"Nevada",32000,95,136,"27"
"Oregon",41000,96,200,"26"
"Nebraska",31000,96,696,"25"
"Texas",48000,97,152,"24"
"Wisconsin",55000,97,386,"23"
"Vermont",50000,97,731,"22"
"Georgia",13000,98,843,"21"
"Pennsylvania",42000,99,864,"20"
"Utah",49000,103,287,"19"
"North Dakota",38000,104,504,"18"
"Delaware",10000,105,136,"17"
"Illinois",17000,109,023,"16"
"Washington",53000,111,893,"15"
"Minnesota",27000,112,104,"14"
"Hawaii",15000,113,349,"13"
"Rhode Island",44000,113,860,"12"
"New Hampshire",33000,114,407,"11"
"Alaska",02900,114,893,"10"
"Colorado",08000,114,935,"9"
"New York",36000,115,652,"8"
"Virginia",51000,116,077,"7"
"California",06000,116,576,"6"
"Connecticut",09000,127,377,"5"
"New Jersey",34000,132,237,"4"
"Massachusetts",25000,132,685,"3"
"Maryland",24000,136,180,"2"
"District of Columbia",11001,250,001,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 7/28/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
